ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,andy,arti,azu,barrel,bebr,bitto,cako,chaeix,chaos,collen,dank,dans,dem,deo,dire,dis,dowolf,drj133,eggert,ema,fiop,fl81,gall,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,junk,kama,kcf,kecleon,kotetsu,lefty,lem,lies,mac,max,mega,mihark,mist,moonr,neko,nfun,orange,p0,para,place,plas,pony,prince,prod,prody,pyre,rev,rwlh,sceptile,sergio,shark,skull,sly,snake,sniff,suprak,taffer,tazzy,tgs,tked,tre,tsunami,tunnel,turus,uf8,w1ndzs,wave,xx521,zel
122,Cardinal Palace,CODENAMEZ,24,27,51,3,CODENAMEZ,,CODENAMEZ,,CODENAMEZ,CODENAMEZ,,,,Cardinal Palace,,Cardinal Palace,Cardinal Palace,Cardinal Palace,CODENAMEZ,,Cardinal Palace,CODENAMEZ,Cardinal Palace,CODENAMEZ,CODENAMEZ,CODENAMEZ,CODENAMEZ,,Cardinal Palace,Cardinal Palace,,Cardinal Palace,CODENAMEZ,CODENAMEZ,Cardinal Palace,Cardinal Palace,CODENAMEZ,CODENAMEZ,CODENAMEZ,Cardinal Palace,,,CODENAMEZ,Cardinal Palace,,,CODENAMEZ,CODENAMEZ,,CODENAMEZ,CODENAMEZ,,,,,,Cardinal Palace,,CODENAMEZ,Cardinal Palace,,,Cardinal Palace,CODENAMEZ,Cardinal Palace,,CODENAMEZ,,Cardinal Palace,,Cardinal Palace,,CODENAMEZ,CODENAMEZ,,,,,,Cardinal Palace,Cardinal Palace,CODENAMEZ,,Cardinal Palace,CODENAMEZ,Cardinal Palace,Cardinal Palace,CODENAMEZ,Cardinal Palace,
123,Hostile Rewrite,Kataklysm in the Computer,13,40,53,27,Kataklysm in the Computer,,Kataklysm in the Computer,Hostile Rewrite,Kataklysm in the Computer,Kataklysm in the Computer,,,,Hostile Rewrite,,Kataklysm in the Computer,Kataklysm in the Computer,Kataklysm in the Computer,Hostile Rewrite,,Hostile Rewrite,Hostile Rewrite,Kataklysm in the Computer,Hostile Rewrite,Hostile Rewrite,Kataklysm in the Computer,Kataklysm in the Computer,,Kataklysm in the Computer,Hostile Rewrite,,Hostile Rewrite,Kataklysm in the Computer,Kataklysm in the Computer,Hostile Rewrite,Kataklysm in the Computer,Kataklysm in the Computer,Kataklysm in the Computer,Kataklysm in the Computer,Hostile Rewrite,,,Kataklysm in the Computer,Kataklysm in the Computer,,,Kataklysm in the Computer,Kataklysm in the Computer,,Kataklysm in the Computer,Kataklysm in the Computer,,,,,,Kataklysm in the Computer,,Kataklysm in the Computer,Kataklysm in the Computer,,,Kataklysm in the Computer,Kataklysm in the Computer,Kataklysm in the Computer,Kataklysm in the Computer,Hostile Rewrite,,Kataklysm in the Computer,,Kataklysm in the Computer,,Kataklysm in the Computer,Kataklysm in the Computer,,,,,,Kataklysm in the Computer,Kataklysm in the Computer,Kataklysm in the Computer,,Hostile Rewrite,Kataklysm in the Computer,Kataklysm in the Computer,Hostile Rewrite,Kataklysm in the Computer,Kataklysm in the Computer,
124,Shoegazer Watched The Stars,Thermosphere,9,44,53,35,Shoegazer Watched The Stars,,Thermosphere,Shoegazer Watched The Stars,Thermosphere,Shoegazer Watched The Stars,,,,Thermosphere,,Shoegazer Watched The Stars,Thermosphere,Thermosphere,Thermosphere,,Thermosphere,Thermosphere,Thermosphere,Thermosphere,Thermosphere,Thermosphere,Shoegazer Watched The Stars,,Thermosphere,Shoegazer Watched The Stars,,Thermosphere,Thermosphere,Thermosphere,Thermosphere,Thermosphere,Thermosphere,Shoegazer Watched The Stars,Thermosphere,Thermosphere,,,Thermosphere,Thermosphere,,,Thermosphere,Thermosphere,,Thermosphere,Thermosphere,,,,,,Thermosphere,,Shoegazer Watched The Stars,Thermosphere,,,Thermosphere,Thermosphere,Thermosphere,Thermosphere,Thermosphere,,Shoegazer Watched The Stars,,Thermosphere,,Thermosphere,Shoegazer Watched The Stars,,,,,,Thermosphere,Thermosphere,Thermosphere,,Thermosphere,Thermosphere,Thermosphere,Shoegazer Watched The Stars,Thermosphere,Thermosphere,
125,Warcry,Vividviolence,37,18,55,19,Warcry,,Warcry,Warcry,Warcry,Warcry,,,,Vividviolence,,Warcry,Warcry,Warcry,Warcry,,Vividviolence,Warcry,Warcry,Warcry,Vividviolence,Warcry,Vividviolence,,Warcry,Warcry,,Vividviolence,Warcry,Warcry,Vividviolence,Warcry,Vividviolence,,Warcry,Vividviolence,,,Warcry,Warcry,,,Warcry,Warcry,Warcry,Warcry,Vividviolence,,,,,,Vividviolence,,Warcry,Vividviolence,Vividviolence,Warcry,Vividviolence,Warcry,Warcry,,Warcry,,Warcry,,Vividviolence,,Vividviolence,Warcry,,,,,,Vividviolence,Warcry,Warcry,,Vividviolence,Vividviolence,Warcry,Warcry,Warcry,Warcry,
126,Last Battle -T260G-,Black Ark Unveiled,32,24,56,8,Last Battle -T260G-,,Black Ark Unveiled,Last Battle -T260G-,Last Battle -T260G-,Last Battle -T260G-,,,,Black Ark Unveiled,,Last Battle -T260G-,Black Ark Unveiled,Black Ark Unveiled,Last Battle -T260G-,,Last Battle -T260G-,Last Battle -T260G-,Black Ark Unveiled,Black Ark Unveiled,Black Ark Unveiled,Last Battle -T260G-,Last Battle -T260G-,,Last Battle -T260G-,Last Battle -T260G-,,Black Ark Unveiled,Last Battle -T260G-,Last Battle -T260G-,Black Ark Unveiled,Last Battle -T260G-,Black Ark Unveiled,,Last Battle -T260G-,Black Ark Unveiled,,,Last Battle -T260G-,Last Battle -T260G-,,,Black Ark Unveiled,Last Battle -T260G-,Black Ark Unveiled,Last Battle -T260G-,Black Ark Unveiled,,,,,,Black Ark Unveiled,,Black Ark Unveiled,Last Battle -T260G-,Black Ark Unveiled,Last Battle -T260G-,Last Battle -T260G-,Last Battle -T260G-,Black Ark Unveiled,,Last Battle -T260G-,,Black Ark Unveiled,,Black Ark Unveiled,,Black Ark Unveiled,Last Battle -T260G-,,,,,Last Battle -T260G-,Last Battle -T260G-,Black Ark Unveiled,Last Battle -T260G-,,Black Ark Unveiled,Last Battle -T260G-,Black Ark Unveiled,Last Battle -T260G-,Last Battle -T260G-,Last Battle -T260G-,
127,"Completeness Under Incompleteness (""true prooF"" Long ver.)",The Grand Finale,27,28,55,1,The Grand Finale,,The Grand Finale,"Completeness Under Incompleteness (""true prooF"" Long ver.)",The Grand Finale,The Grand Finale,,,,"Completeness Under Incompleteness (""true prooF"" Long ver.)",,The Grand Finale,The Grand Finale,The Grand Finale,The Grand Finale,,"Completeness Under Incompleteness (""true prooF"" Long ver.)",The Grand Finale,The Grand Finale,The Grand Finale,"Completeness Under Incompleteness (""true prooF"" Long ver.)",The Grand Finale,"Completeness Under Incompleteness (""true prooF"" Long ver.)",,The Grand Finale,The Grand Finale,,The Grand Finale,The Grand Finale,"Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)",,"Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)",,,"Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)",,,"Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)",,,,,,"Completeness Under Incompleteness (""true prooF"" Long ver.)",,The Grand Finale,The Grand Finale,"Completeness Under Incompleteness (""true prooF"" Long ver.)",The Grand Finale,"Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)",,The Grand Finale,,The Grand Finale,,"Completeness Under Incompleteness (""true prooF"" Long ver.)",,"Completeness Under Incompleteness (""true prooF"" Long ver.)",The Grand Finale,,,,,The Grand Finale,The Grand Finale,,The Grand Finale,,The Grand Finale,"Completeness Under Incompleteness (""true prooF"" Long ver.)","Completeness Under Incompleteness (""true prooF"" Long ver.)",The Grand Finale,The Grand Finale,The Grand Finale,
128,Staff Roll,Name Entry,27,30,57,3,Name Entry,,Name Entry,Name Entry,Staff Roll,Name Entry,,,Name Entry,Name Entry,,Name Entry,Name Entry,Staff Roll,Staff Roll,,Staff Roll,Name Entry,Name Entry,Name Entry,Staff Roll,Staff Roll,Name Entry,,Staff Roll,Name Entry,,Staff Roll,Staff Roll,Name Entry,Staff Roll,Name Entry,Staff Roll,Staff Roll,Name Entry,Name Entry,,,Name Entry,Name Entry,,,Name Entry,Staff Roll,Name Entry,Staff Roll,Name Entry,,,,,,,Staff Roll,Staff Roll,Staff Roll,,Staff Roll,Name Entry,Staff Roll,Name Entry,,Staff Roll,,Staff Roll,,Name Entry,Name Entry,Staff Roll,Name Entry,,,,Name Entry,,Staff Roll,,Staff Roll,,Name Entry,Name Entry,Staff Roll,Staff Roll,Staff Roll,Name Entry,
129,New Battle!!!,Awakening ~ Nürburgring Suite,21,36,57,15,Awakening ~ Nürburgring Suite,,New Battle!!!,Awakening ~ Nürburgring Suite,New Battle!!!,Awakening ~ Nürburgring Suite,,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,New Battle!!!,New Battle!!!,New Battle!!!,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,New Battle!!!,Awakening ~ Nürburgring Suite,New Battle!!!,New Battle!!!,Awakening ~ Nürburgring Suite,,New Battle!!!,New Battle!!!,,Awakening ~ Nürburgring Suite,New Battle!!!,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,New Battle!!!,Awakening ~ Nürburgring Suite,New Battle!!!,Awakening ~ Nürburgring Suite,,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,,New Battle!!!,New Battle!!!,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,,,,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,New Battle!!!,New Battle!!!,,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,New Battle!!!,,,,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,,New Battle!!!,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,New Battle!!!,New Battle!!!,Awakening ~ Nürburgring Suite,
130,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,26,29,55,3,Aria Math,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",,Aria Math,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,Aria Math,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,,,Aria Math,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,Aria Math,Aria Math,,,,,,Aria Math,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",,Aria Math,,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,,Aria Math,,Aria Math,,Aria Math,,Aria Math,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",,,,Aria Math,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",,Aria Math,Aria Math,Aria Math,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",Aria Math,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",
131,b10,Duel VS Fortress Leader,35,19,54,16,b10,,b10,Duel VS Fortress Leader,Duel VS Fortress Leader,Duel VS Fortress Leader,,b10,Duel VS Fortress Leader,b10,,Duel VS Fortress Leader,Duel VS Fortress Leader,b10,Duel VS Fortress Leader,,Duel VS Fortress Leader,b10,b10,b10,b10,,b10,,b10,b10,,b10,Duel VS Fortress Leader,b10,b10,Duel VS Fortress Leader,Duel VS Fortress Leader,b10,b10,b10,,,Duel VS Fortress Leader,Duel VS Fortress Leader,,,b10,b10,,b10,b10,,,,,,b10,b10,,Duel VS Fortress Leader,b10,,b10,b10,Duel VS Fortress Leader,,b10,,Duel VS Fortress Leader,,b10,,b10,b10,,,,,,b10,,Duel VS Fortress Leader,,b10,b10,Duel VS Fortress Leader,b10,b10,Duel VS Fortress Leader,
132,Rage,Wild Woods,25,28,53,3,Wild Woods,,Wild Woods,Wild Woods,Rage,Rage,,Wild Woods,Rage,Wild Woods,,Wild Woods,Wild Woods,Rage,Wild Woods,,Rage,Wild Woods,Wild Woods,Rage,Wild Woods,,Wild Woods,,Rage,Rage,,Wild Woods,Wild Woods,Rage,Wild Woods,Rage,Rage,Rage,Rage,Wild Woods,,,Wild Woods,Wild Woods,,,Rage,Rage,,Rage,Wild Woods,,,,,,,Rage,,Wild Woods,Wild Woods,,Rage,Rage,Wild Woods,,Rage,,Wild Woods,,Wild Woods,,Rage,Wild Woods,,,,,,Wild Woods,,Rage,,Wild Woods,Rage,Wild Woods,Rage,Wild Woods,Rage,
133,About That...,FM04: Twin Moon,32,21,53,11,About That...,,About That...,About That...,About That...,About That...,,,About That...,FM04: Twin Moon,,About That...,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,,FM04: Twin Moon,About That...,FM04: Twin Moon,About That...,About That...,,About That...,,About That...,FM04: Twin Moon,,FM04: Twin Moon,About That...,About That...,FM04: Twin Moon,FM04: Twin Moon,About That...,About That...,About That...,FM04: Twin Moon,,,About That...,About That...,,,About That...,About That...,,About That...,FM04: Twin Moon,,,,,,FM04: Twin Moon,About That...,,About That...,FM04: Twin Moon,,About That...,FM04: Twin Moon,FM04: Twin Moon,,About That...,,FM04: Twin Moon,,FM04: Twin Moon,,FM04: Twin Moon,About That...,,,,,,About That...,,About That...,,FM04: Twin Moon,About That...,FM04: Twin Moon,About That...,About That...,About That...,
134,Burger King Futo Lettuce (Futo's Theme),Spring Wind Skylark,20,30,50,10,Spring Wind Skylark,,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,,,Spring Wind Skylark,,,Burger King Futo Lettuce (Futo's Theme),,Burger King Futo Lettuce (Futo's Theme),,Spring Wind Skylark,Spring Wind Skylark,Burger King Futo Lettuce (Futo's Theme),Spring Wind Skylark,Burger King Futo Lettuce (Futo's Theme),,Burger King Futo Lettuce (Futo's Theme),,Spring Wind Skylark,Burger King Futo Lettuce (Futo's Theme),,Spring Wind Skylark,Spring Wind Skylark,Burger King Futo Lettuce (Futo's Theme),Spring Wind Skylark,Burger King Futo Lettuce (Futo's Theme),Spring Wind Skylark,Burger King Futo Lettuce (Futo's Theme),Spring Wind Skylark,Spring Wind Skylark,,,Spring Wind Skylark,Spring Wind Skylark,,,Spring Wind Skylark,Spring Wind Skylark,,Spring Wind Skylark,Burger King Futo Lettuce (Futo's Theme),,,,,,Spring Wind Skylark,Spring Wind Skylark,,Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),Spring Wind Skylark,,,Burger King Futo Lettuce (Futo's Theme),,Spring Wind Skylark,,Spring Wind Skylark,Spring Wind Skylark,,,,Burger King Futo Lettuce (Futo's Theme),,Burger King Futo Lettuce (Futo's Theme),,Spring Wind Skylark,,Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),,Spring Wind Skylark,,Spring Wind Skylark,
135,Somnia Memorias,Softbank,19,30,49,11,Softbank,,Softbank,Somnia Memorias,Somnia Memorias,Softbank,Softbank,,,Softbank,,,Softbank,Softbank,Softbank,,Softbank,Softbank,Softbank,Somnia Memorias,Softbank,,Somnia Memorias,,Somnia Memorias,Softbank,,Softbank,Softbank,Softbank,Softbank,Softbank,Softbank,Somnia Memorias,Softbank,Softbank,,,Somnia Memorias,Softbank,,,Softbank,Softbank,,Softbank,Softbank,,,,,,Somnia Memorias,Somnia Memorias,,Softbank,Somnia Memorias,,Somnia Memorias,Somnia Memorias,Somnia Memorias,,,,Softbank,,Somnia Memorias,,Somnia Memorias,Somnia Memorias,,,,Somnia Memorias,,Softbank,,Somnia Memorias,,Softbank,Softbank,,Somnia Memorias,,Softbank,
136,Aurora's Theme,Love Psalm,15,34,49,19,Love Psalm,,Love Psalm,Love Psalm,Aurora's Theme,Aurora's Theme,Aurora's Theme,,,Love Psalm,,,Love Psalm,Love Psalm,Love Psalm,,Aurora's Theme,Aurora's Theme,Love Psalm,Aurora's Theme,Love Psalm,,Love Psalm,,Aurora's Theme,Love Psalm,,Love Psalm,Love Psalm,Aurora's Theme,Love Psalm,Love Psalm,Love Psalm,Love Psalm,Love Psalm,Love Psalm,,,Love Psalm,Aurora's Theme,,,Love Psalm,Love Psalm,,Love Psalm,Aurora's Theme,,,,,,,Aurora's Theme,,Aurora's Theme,Love Psalm,Love Psalm,Love Psalm,Aurora's Theme,Love Psalm,,,,Aurora's Theme,,Love Psalm,,Love Psalm,Love Psalm,,,,Love Psalm,,Aurora's Theme,,Love Psalm,,Love Psalm,Love Psalm,,Aurora's Theme,,Love Psalm,
137,We Are The Lights (Phase 3-4),Zero Gravity Area,18,30,48,12,Zero Gravity Area,,We Are The Lights (Phase 3-4),Zero Gravity Area,We Are The Lights (Phase 3-4),We Are The Lights (Phase 3-4),,,,,,We Are The Lights (Phase 3-4),Zero Gravity Area,Zero Gravity Area,,,Zero Gravity Area,We Are The Lights (Phase 3-4),Zero Gravity Area,We Are The Lights (Phase 3-4),We Are The Lights (Phase 3-4),,Zero Gravity Area,,Zero Gravity Area,Zero Gravity Area,,We Are The Lights (Phase 3-4),Zero Gravity Area,We Are The Lights (Phase 3-4),Zero Gravity Area,Zero Gravity Area,Zero Gravity Area,Zero Gravity Area,Zero Gravity Area,Zero Gravity Area,,,Zero Gravity Area,Zero Gravity Area,,,Zero Gravity Area,We Are The Lights (Phase 3-4),,We Are The Lights (Phase 3-4),We Are The Lights (Phase 3-4),,,,,,Zero Gravity Area,,,Zero Gravity Area,,,Zero Gravity Area,We Are The Lights (Phase 3-4),Zero Gravity Area,,Zero Gravity Area,,Zero Gravity Area,,Zero Gravity Area,,Zero Gravity Area,We Are The Lights (Phase 3-4),,,,,,We Are The Lights (Phase 3-4),,We Are The Lights (Phase 3-4),,Zero Gravity Area,We Are The Lights (Phase 3-4),Zero Gravity Area,We Are The Lights (Phase 3-4),Zero Gravity Area,Zero Gravity Area,
138,"Stage 3 - Voile, the Magic Library",Nocturnal 2097 (Long Version),14,33,47,19,Nocturnal 2097 (Long Version),,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,,,,Nocturnal 2097 (Long Version),"Stage 3 - Voile, the Magic Library",Nocturnal 2097 (Long Version),,,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),"Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library",Nocturnal 2097 (Long Version),,Nocturnal 2097 (Long Version),,"Stage 3 - Voile, the Magic Library",Nocturnal 2097 (Long Version),,"Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library",Nocturnal 2097 (Long Version),"Stage 3 - Voile, the Magic Library",Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,Nocturnal 2097 (Long Version),"Stage 3 - Voile, the Magic Library",,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,,,,Nocturnal 2097 (Long Version),,,Nocturnal 2097 (Long Version),,,"Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library",Nocturnal 2097 (Long Version),,Nocturnal 2097 (Long Version),,,,"Stage 3 - Voile, the Magic Library",,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,,,,Nocturnal 2097 (Long Version),,"Stage 3 - Voile, the Magic Library",,"Stage 3 - Voile, the Magic Library",Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),"Stage 3 - Voile, the Magic Library",
139,Badlands,Deserted - Younger Brother and Elder Sister and... (Stage3),20,26,46,6,Deserted - Younger Brother and Elder Sister and... (Stage3),,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Badlands,Deserted - Younger Brother and Elder Sister and... (Stage3),,,,,,Badlands,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),,,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Badlands,Deserted - Younger Brother and Elder Sister and... (Stage3),,Badlands,,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),,Badlands,Deserted - Younger Brother and Elder Sister and... (Stage3),Badlands,Deserted - Younger Brother and Elder Sister and... (Stage3),Badlands,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Badlands,,,Badlands,Badlands,,,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),,,,,,Deserted - Younger Brother and Elder Sister and... (Stage3),,,Badlands,,,Badlands,Badlands,Deserted - Younger Brother and Elder Sister and... (Stage3),,Deserted - Younger Brother and Elder Sister and... (Stage3),,,,Badlands,,Badlands,Badlands,,,,,,Badlands,,Deserted - Younger Brother and Elder Sister and... (Stage3),,Badlands,Deserted - Younger Brother and Elder Sister and... (Stage3),Badlands,Deserted - Younger Brother and Elder Sister and... (Stage3),,Badlands,
140,Sog-Gee's Realm (Water),Tap de Papapaya (Long Version),24,28,52,4,Tap de Papapaya (Long Version),,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),,Sog-Gee's Realm (Water),,,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,Sog-Gee's Realm (Water),Tap de Papapaya (Long Version),Sog-Gee's Realm (Water),,,Tap de Papapaya (Long Version),Sog-Gee's Realm (Water),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Sog-Gee's Realm (Water),,Tap de Papapaya (Long Version),,Sog-Gee's Realm (Water),Tap de Papapaya (Long Version),,Sog-Gee's Realm (Water),Tap de Papapaya (Long Version),Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Sog-Gee's Realm (Water),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),,,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),,,,,,Tap de Papapaya (Long Version),Sog-Gee's Realm (Water),,Sog-Gee's Realm (Water),Tap de Papapaya (Long Version),,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,Sog-Gee's Realm (Water),,Tap de Papapaya (Long Version),,Sog-Gee's Realm (Water),,Tap de Papapaya (Long Version),Sog-Gee's Realm (Water),,,,,,Tap de Papapaya (Long Version),,Tap de Papapaya (Long Version),,Sog-Gee's Realm (Water),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),
141,Birdo II,Shop Demo,27,23,50,4,Birdo II,,Birdo II,Birdo II,,Birdo II,,,Birdo II,,,Shop Demo,Birdo II,Shop Demo,,,Shop Demo,Shop Demo,Birdo II,Shop Demo,Shop Demo,,Shop Demo,,Shop Demo,Shop Demo,,Shop Demo,Shop Demo,Shop Demo,Birdo II,Birdo II,Birdo II,Birdo II,Shop Demo,Birdo II,,,Birdo II,Birdo II,,,Shop Demo,Birdo II,Shop Demo,Birdo II,Birdo II,,,,,,Birdo II,Shop Demo,,Shop Demo,Birdo II,,Birdo II,Birdo II,Shop Demo,,Shop Demo,,Birdo II,,Birdo II,,Birdo II,Birdo II,,,,,,Shop Demo,,Birdo II,,Shop Demo,Birdo II,Shop Demo,Birdo II,,Shop Demo,
