ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,afrono,andy,arti,az,bane,barrel,bebr,bitto,boss,cako,chaeix,chaos,collen,dan,dem,deo,dire,dis,dowolf,drj133,ema,fl81,gall,gin,haste,hb,hbj,horita,hotdog,hunj,hunt,isquen,janus,jona,jungle,kama,kcf,kecleon,kong,korji,lasa,lefty,lem,lilly,mac,maple,mark,max,mega,mihark,monkey,neko,nfun,ogura,p0,para,place,plas,pony,prince,prod,prody,pyre,rwlh,sea,sergio,skull,sly,taff,tazzy,tgs,tked,tre,tunnel,turus,uf8,ulti,wave,xuxon,xx521,zel,zts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,diamond meditation,Shiva (Glacier Remix),21,32,53,11,Shiva (Glacier Remix),,Shiva (Glacier Remix),,Shiva (Glacier Remix),,Shiva (Glacier Remix),,,,Shiva (Glacier Remix),,,,Shiva (Glacier Remix),diamond meditation,diamond meditation,,Shiva (Glacier Remix),diamond meditation,Shiva (Glacier Remix),Shiva (Glacier Remix),,diamond meditation,Shiva (Glacier Remix),diamond meditation,,diamond meditation,Shiva (Glacier Remix),Shiva (Glacier Remix),diamond meditation,diamond meditation,,diamond meditation,diamond meditation,Shiva (Glacier Remix),Shiva (Glacier Remix),,Shiva (Glacier Remix),diamond meditation,,,diamond meditation,,Shiva (Glacier Remix),Shiva (Glacier Remix),,Shiva (Glacier Remix),diamond meditation,,Shiva (Glacier Remix),Shiva (Glacier Remix),,,,Shiva (Glacier Remix),Shiva (Glacier Remix),,Shiva (Glacier Remix),,diamond meditation,diamond meditation,diamond meditation,Shiva (Glacier Remix),,diamond meditation,diamond meditation,,diamond meditation,Shiva (Glacier Remix),diamond meditation,,Shiva (Glacier Remix),Shiva (Glacier Remix),diamond meditation,Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),,,,Shiva (Glacier Remix),Shiva (Glacier Remix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,The Valkyrie,Oyasumi Monochrome,31,23,54,8,The Valkyrie,,Oyasumi Monochrome,,The Valkyrie,,The Valkyrie,,,,The Valkyrie,,,,Oyasumi Monochrome,The Valkyrie,The Valkyrie,,The Valkyrie,The Valkyrie,Oyasumi Monochrome,Oyasumi Monochrome,,Oyasumi Monochrome,Oyasumi Monochrome,Oyasumi Monochrome,,The Valkyrie,The Valkyrie,The Valkyrie,The Valkyrie,Oyasumi Monochrome,,The Valkyrie,The Valkyrie,Oyasumi Monochrome,The Valkyrie,,The Valkyrie,The Valkyrie,,,Oyasumi Monochrome,,The Valkyrie,Oyasumi Monochrome,,The Valkyrie,The Valkyrie,,Oyasumi Monochrome,Oyasumi Monochrome,,,,The Valkyrie,The Valkyrie,,The Valkyrie,,The Valkyrie,Oyasumi Monochrome,Oyasumi Monochrome,Oyasumi Monochrome,,Oyasumi Monochrome,Oyasumi Monochrome,,The Valkyrie,The Valkyrie,The Valkyrie,,Oyasumi Monochrome,Oyasumi Monochrome,The Valkyrie,Oyasumi Monochrome,The Valkyrie,The Valkyrie,The Valkyrie,,The Valkyrie,,Oyasumi Monochrome,Oyasumi Monochrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Crimson Gate (Long Version),FUCK ME,32,25,57,7,Crimson Gate (Long Version),,Crimson Gate (Long Version),,FUCK ME,Crimson Gate (Long Version),FUCK ME,,,,FUCK ME,,Crimson Gate (Long Version),,Crimson Gate (Long Version),FUCK ME,Crimson Gate (Long Version),,FUCK ME,Crimson Gate (Long Version),FUCK ME,FUCK ME,FUCK ME,FUCK ME,FUCK ME,FUCK ME,,Crimson Gate (Long Version),FUCK ME,Crimson Gate (Long Version),Crimson Gate (Long Version),FUCK ME,,Crimson Gate (Long Version),Crimson Gate (Long Version),Crimson Gate (Long Version),Crimson Gate (Long Version),,Crimson Gate (Long Version),FUCK ME,,,FUCK ME,,Crimson Gate (Long Version),Crimson Gate (Long Version),,Crimson Gate (Long Version),FUCK ME,,Crimson Gate (Long Version),FUCK ME,,,,Crimson Gate (Long Version),FUCK ME,,Crimson Gate (Long Version),,,FUCK ME,FUCK ME,Crimson Gate (Long Version),,FUCK ME,FUCK ME,,Crimson Gate (Long Version),FUCK ME,Crimson Gate (Long Version),,FUCK ME,Crimson Gate (Long Version),Crimson Gate (Long Version),Crimson Gate (Long Version),Crimson Gate (Long Version),Crimson Gate (Long Version),Crimson Gate (Long Version),,Crimson Gate (Long Version),Crimson Gate (Long Version),Crimson Gate (Long Version),FUCK ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,you can't fxxk me,Eastern Temple,36,19,55,17,you can't fxxk me,,Eastern Temple,,,you can't fxxk me,you can't fxxk me,,,,you can't fxxk me,,Eastern Temple,,you can't fxxk me,you can't fxxk me,Eastern Temple,,you can't fxxk me,you can't fxxk me,you can't fxxk me,Eastern Temple,you can't fxxk me,you can't fxxk me,you can't fxxk me,Eastern Temple,,Eastern Temple,Eastern Temple,you can't fxxk me,Eastern Temple,you can't fxxk me,,you can't fxxk me,you can't fxxk me,you can't fxxk me,Eastern Temple,,you can't fxxk me,you can't fxxk me,,,you can't fxxk me,,you can't fxxk me,you can't fxxk me,,you can't fxxk me,you can't fxxk me,,you can't fxxk me,you can't fxxk me,,,,Eastern Temple,you can't fxxk me,,Eastern Temple,,,you can't fxxk me,you can't fxxk me,you can't fxxk me,,Eastern Temple,you can't fxxk me,,Eastern Temple,Eastern Temple,you can't fxxk me,,you can't fxxk me,,Eastern Temple,Eastern Temple,Eastern Temple,you can't fxxk me,Eastern Temple,,you can't fxxk me,you can't fxxk me,Eastern Temple,you can't fxxk me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Florest,Ravevenge,35,21,56,14,Florest,,Ravevenge,,Ravevenge,Ravevenge,Florest,,,,Ravevenge,,Florest,,Florest,Florest,Florest,,Florest,Ravevenge,Florest,Florest,Florest,Florest,Ravevenge,Ravevenge,,Florest,Ravevenge,Ravevenge,Florest,Florest,,Ravevenge,Florest,Ravevenge,Florest,,Florest,Florest,,,Florest,,Ravevenge,Ravevenge,,Ravevenge,Florest,,Florest,Florest,,,,Florest,Florest,,Florest,,,Florest,Florest,Florest,,Florest,,,Florest,Ravevenge,Florest,,Ravevenge,Ravevenge,Florest,Ravevenge,Florest,Ravevenge,Florest,,Florest,Florest,Ravevenge,Ravevenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Eleventh Hour,where is smiley?,22,37,59,15,where is smiley?,,where is smiley?,where is smiley?,where is smiley?,where is smiley?,where is smiley?,,where is smiley?,,where is smiley?,,where is smiley?,Eleventh Hour,Eleventh Hour,where is smiley?,Eleventh Hour,,where is smiley?,Eleventh Hour,where is smiley?,Eleventh Hour,,where is smiley?,where is smiley?,where is smiley?,,where is smiley?,Eleventh Hour,Eleventh Hour,Eleventh Hour,where is smiley?,,Eleventh Hour,Eleventh Hour,where is smiley?,where is smiley?,,where is smiley?,where is smiley?,,,,,where is smiley?,where is smiley?,,where is smiley?,Eleventh Hour,,where is smiley?,where is smiley?,,,,Eleventh Hour,Eleventh Hour,,where is smiley?,,Eleventh Hour,Eleventh Hour,where is smiley?,where is smiley?,,Eleventh Hour,where is smiley?,,where is smiley?,where is smiley?,where is smiley?,,where is smiley?,Eleventh Hour,Eleventh Hour,where is smiley?,Eleventh Hour,Eleventh Hour,where is smiley?,,where is smiley?,Eleventh Hour,Eleventh Hour,where is smiley?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,I'm Better Than You,The End of 1996 H.K.,10,48,58,38,The End of 1996 H.K.,,I'm Better Than You,The End of 1996 H.K.,The End of 1996 H.K.,I'm Better Than You,The End of 1996 H.K.,,I'm Better Than You,,The End of 1996 H.K.,,The End of 1996 H.K.,The End of 1996 H.K.,I'm Better Than You,The End of 1996 H.K.,The End of 1996 H.K.,,The End of 1996 H.K.,The End of 1996 H.K.,The End of 1996 H.K.,I'm Better Than You,,The End of 1996 H.K.,The End of 1996 H.K.,The End of 1996 H.K.,,The End of 1996 H.K.,The End of 1996 H.K.,The End of 1996 H.K.,The End of 1996 H.K.,The End of 1996 H.K.,,The End of 1996 H.K.,I'm Better Than You,The End of 1996 H.K.,The End of 1996 H.K.,,I'm Better Than You,I'm Better Than You,,,,,The End of 1996 H.K.,The End of 1996 H.K.,,The End of 1996 H.K.,The End of 1996 H.K.,,The End of 1996 H.K.,The End of 1996 H.K.,,,,The End of 1996 H.K.,The End of 1996 H.K.,,The End of 1996 H.K.,,The End of 1996 H.K.,The End of 1996 H.K.,The End of 1996 H.K.,The End of 1996 H.K.,,The End of 1996 H.K.,The End of 1996 H.K.,,The End of 1996 H.K.,The End of 1996 H.K.,I'm Better Than You,,The End of 1996 H.K.,The End of 1996 H.K.,The End of 1996 H.K.,I'm Better Than You,The End of 1996 H.K.,The End of 1996 H.K.,The End of 1996 H.K.,,,The End of 1996 H.K.,The End of 1996 H.K.,The End of 1996 H.K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Poisoned Well,Meta Knight's Revenge,18,41,59,23,Meta Knight's Revenge,,Meta Knight's Revenge,Meta Knight's Revenge,Meta Knight's Revenge,Meta Knight's Revenge,Meta Knight's Revenge,,Meta Knight's Revenge,,Meta Knight's Revenge,,Poisoned Well,Meta Knight's Revenge,Meta Knight's Revenge,Poisoned Well,Meta Knight's Revenge,,Meta Knight's Revenge,Meta Knight's Revenge,Meta Knight's Revenge,Poisoned Well,,Poisoned Well,Meta Knight's Revenge,Meta Knight's Revenge,,Poisoned Well,Meta Knight's Revenge,Meta Knight's Revenge,Poisoned Well,Poisoned Well,,Meta Knight's Revenge,Meta Knight's Revenge,Meta Knight's Revenge,Poisoned Well,,Meta Knight's Revenge,Meta Knight's Revenge,,,,,Meta Knight's Revenge,Meta Knight's Revenge,,Meta Knight's Revenge,Meta Knight's Revenge,,Poisoned Well,Meta Knight's Revenge,,,,Meta Knight's Revenge,Meta Knight's Revenge,,Meta Knight's Revenge,,Meta Knight's Revenge,Meta Knight's Revenge,Poisoned Well,Meta Knight's Revenge,,Meta Knight's Revenge,Poisoned Well,,Poisoned Well,Meta Knight's Revenge,Meta Knight's Revenge,,Poisoned Well,Poisoned Well,Poisoned Well,Meta Knight's Revenge,Poisoned Well,Meta Knight's Revenge,Poisoned Well,,Meta Knight's Revenge,Poisoned Well,Meta Knight's Revenge,Meta Knight's Revenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Legacy,"Electric Injury(""Electrocute"" Long Ver.)",30,23,53,7,Legacy,,"Electric Injury(""Electrocute"" Long Ver.)",,Legacy,"Electric Injury(""Electrocute"" Long Ver.)","Electric Injury(""Electrocute"" Long Ver.)",,,,,,,"Electric Injury(""Electrocute"" Long Ver.)",,"Electric Injury(""Electrocute"" Long Ver.)",Legacy,,"Electric Injury(""Electrocute"" Long Ver.)","Electric Injury(""Electrocute"" Long Ver.)",Legacy,,,Legacy,"Electric Injury(""Electrocute"" Long Ver.)",Legacy,,Legacy,Legacy,Legacy,Legacy,Legacy,,"Electric Injury(""Electrocute"" Long Ver.)","Electric Injury(""Electrocute"" Long Ver.)","Electric Injury(""Electrocute"" Long Ver.)",Legacy,,"Electric Injury(""Electrocute"" Long Ver.)",Legacy,,,Legacy,Legacy,"Electric Injury(""Electrocute"" Long Ver.)","Electric Injury(""Electrocute"" Long Ver.)",,"Electric Injury(""Electrocute"" Long Ver.)","Electric Injury(""Electrocute"" Long Ver.)",,"Electric Injury(""Electrocute"" Long Ver.)",Legacy,,,,Legacy,Legacy,,Legacy,,Legacy,Legacy,"Electric Injury(""Electrocute"" Long Ver.)","Electric Injury(""Electrocute"" Long Ver.)",,,Legacy,,Legacy,Legacy,Legacy,,"Electric Injury(""Electrocute"" Long Ver.)","Electric Injury(""Electrocute"" Long Ver.)",Legacy,"Electric Injury(""Electrocute"" Long Ver.)",Legacy,Legacy,Legacy,,,Legacy,Legacy,"Electric Injury(""Electrocute"" Long Ver.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Closure,Juvenile,36,17,53,19,Closure,,Juvenile,,Closure,Juvenile,Juvenile,,,,,,,Closure,,Closure,Juvenile,,Juvenile,Closure,Closure,,,Closure,Juvenile,Juvenile,,Closure,Closure,Closure,Closure,Closure,,Juvenile,Closure,Juvenile,Closure,,Closure,Closure,,,Closure,Closure,Juvenile,Juvenile,,Juvenile,Closure,,Closure,Closure,,,,Closure,Closure,,Closure,,,Closure,Juvenile,Closure,,,Closure,,Closure,Closure,Juvenile,,Closure,Juvenile,Closure,Juvenile,Closure,Closure,Closure,,Closure,Closure,Juvenile,Closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,The Grand Finale,Takmi (Hommarju Extend Remix),23,31,54,8,Takmi (Hommarju Extend Remix),,The Grand Finale,,,The Grand Finale,The Grand Finale,,,,,,,The Grand Finale,,The Grand Finale,Takmi (Hommarju Extend Remix),,Takmi (Hommarju Extend Remix),The Grand Finale,The Grand Finale,,,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),The Grand Finale,,Takmi (Hommarju Extend Remix),The Grand Finale,The Grand Finale,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,The Grand Finale,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,Takmi (Hommarju Extend Remix),The Grand Finale,,,The Grand Finale,The Grand Finale,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,The Grand Finale,Takmi (Hommarju Extend Remix),,,,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,The Grand Finale,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,,The Grand Finale,,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),The Grand Finale,,The Grand Finale,The Grand Finale,Takmi (Hommarju Extend Remix),The Grand Finale,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,The Grand Finale,Takmi (Hommarju Extend Remix),The Grand Finale,Takmi (Hommarju Extend Remix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Journey to the Sky,Perfect Game,26,27,53,1,Perfect Game,,Journey to the Sky,,Perfect Game,Journey to the Sky,Journey to the Sky,,,,,,,Journey to the Sky,Perfect Game,Perfect Game,Journey to the Sky,,Perfect Game,Perfect Game,Perfect Game,,Journey to the Sky,Journey to the Sky,Perfect Game,Perfect Game,,Perfect Game,Journey to the Sky,Journey to the Sky,Journey to the Sky,Perfect Game,,Perfect Game,Journey to the Sky,Perfect Game,Perfect Game,,Perfect Game,Perfect Game,,,Journey to the Sky,,Journey to the Sky,Perfect Game,,Perfect Game,Perfect Game,,Journey to the Sky,Perfect Game,,,,,Perfect Game,,Journey to the Sky,,Journey to the Sky,Perfect Game,Perfect Game,Perfect Game,,Journey to the Sky,Perfect Game,,Perfect Game,Journey to the Sky,Journey to the Sky,,,Perfect Game,Journey to the Sky,Journey to the Sky,Journey to the Sky,Journey to the Sky,Perfect Game,,Journey to the Sky,Journey to the Sky,Journey to the Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Staff Roll,Resonance of Ray,21,31,52,10,Resonance of Ray,,Resonance of Ray,,Resonance of Ray,Resonance of Ray,Resonance of Ray,,,,,,,Resonance of Ray,Resonance of Ray,Staff Roll,Resonance of Ray,,Staff Roll,Resonance of Ray,Staff Roll,,,Staff Roll,Resonance of Ray,Resonance of Ray,,Staff Roll,Resonance of Ray,Resonance of Ray,Staff Roll,Staff Roll,,Resonance of Ray,Resonance of Ray,Resonance of Ray,Staff Roll,,Resonance of Ray,Staff Roll,,,Resonance of Ray,,Resonance of Ray,Resonance of Ray,,Resonance of Ray,Staff Roll,,Staff Roll,Resonance of Ray,,,,Staff Roll,Resonance of Ray,,Resonance of Ray,,Resonance of Ray,Staff Roll,Staff Roll,Staff Roll,,Resonance of Ray,Staff Roll,,Staff Roll,Staff Roll,Resonance of Ray,,,,Staff Roll,Resonance of Ray,Staff Roll,Resonance of Ray,Staff Roll,,Resonance of Ray,Resonance of Ray,Resonance of Ray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Track 2,Title,15,39,54,24,Title,,Title,,Title,Title,Title,,,,,,,Track 2,Title,Track 2,Track 2,,Title,Title,Title,,Title,Title,Title,Track 2,,Title,Title,Title,Track 2,Track 2,,Title,Track 2,Title,Track 2,,Title,Title,,,Title,,Title,Title,,Title,Title,,Track 2,Title,,,,Track 2,Title,,Title,,Title,Track 2,Title,Title,,Title,Track 2,,Track 2,Title,Title,,,Title,Track 2,Title,Track 2,Title,Title,,Title,Title,Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Kaze no Ne,Caves of Mul,29,26,55,3,Kaze no Ne,,Kaze no Ne,,Caves of Mul,Caves of Mul,Caves of Mul,,,,Kaze no Ne,,,Kaze no Ne,Kaze no Ne,Kaze no Ne,Kaze no Ne,,Kaze no Ne,Caves of Mul,Kaze no Ne,Caves of Mul,,Caves of Mul,Caves of Mul,Caves of Mul,,Caves of Mul,Caves of Mul,Caves of Mul,Kaze no Ne,Kaze no Ne,,Caves of Mul,Kaze no Ne,Kaze no Ne,Kaze no Ne,,Caves of Mul,Caves of Mul,,,Kaze no Ne,,Kaze no Ne,Kaze no Ne,,Caves of Mul,Caves of Mul,,Kaze no Ne,Kaze no Ne,,,,Caves of Mul,Caves of Mul,,Kaze no Ne,,Caves of Mul,Caves of Mul,Kaze no Ne,Caves of Mul,,Kaze no Ne,Kaze no Ne,,Kaze no Ne,Kaze no Ne,Caves of Mul,,Caves of Mul,Kaze no Ne,Caves of Mul,Kaze no Ne,Kaze no Ne,Caves of Mul,,,Kaze no Ne,Caves of Mul,,Kaze no Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,XIII. THE BUD,Loneliness of the Caged Bird,14,39,53,25,Loneliness of the Caged Bird,,,,XIII. THE BUD,XIII. THE BUD,Loneliness of the Caged Bird,,,,Loneliness of the Caged Bird,,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,XIII. THE BUD,,Loneliness of the Caged Bird,XIII. THE BUD,XIII. THE BUD,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,,XIII. THE BUD,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,XIII. THE BUD,XIII. THE BUD,,,Loneliness of the Caged Bird,,XIII. THE BUD,Loneliness of the Caged Bird,,XIII. THE BUD,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,XIII. THE BUD,XIII. THE BUD,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,XIII. THE BUD,Loneliness of the Caged Bird,XIII. THE BUD,,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Jade Chimes,Title Screen (Aqua Vistas),24,31,55,7,Title Screen (Aqua Vistas),,Title Screen (Aqua Vistas),,Title Screen (Aqua Vistas),Jade Chimes,Jade Chimes,,,,Jade Chimes,,,Jade Chimes,Jade Chimes,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),,Jade Chimes,Title Screen (Aqua Vistas),Jade Chimes,Jade Chimes,,Jade Chimes,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),,Jade Chimes,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),,Jade Chimes,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),,,Title Screen (Aqua Vistas),,Jade Chimes,Jade Chimes,,Jade Chimes,Title Screen (Aqua Vistas),,Jade Chimes,Title Screen (Aqua Vistas),,,,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),,Title Screen (Aqua Vistas),,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),Jade Chimes,Title Screen (Aqua Vistas),,Jade Chimes,Jade Chimes,,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),Jade Chimes,,Jade Chimes,Jade Chimes,Title Screen (Aqua Vistas),Jade Chimes,Title Screen (Aqua Vistas),Jade Chimes,,,Title Screen (Aqua Vistas),Title Screen (Aqua Vistas),,Jade Chimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Georgette Me, Georgette You",Melancholy of a Noisy Girl,21,31,52,10,Melancholy of a Noisy Girl,,"Georgette Me, Georgette You",Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,"Georgette Me, Georgette You",,,,Melancholy of a Noisy Girl,,,,,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,,Melancholy of a Noisy Girl,"Georgette Me, Georgette You",Melancholy of a Noisy Girl,"Georgette Me, Georgette You","Georgette Me, Georgette You",Melancholy of a Noisy Girl,"Georgette Me, Georgette You","Georgette Me, Georgette You",,Melancholy of a Noisy Girl,"Georgette Me, Georgette You",Melancholy of a Noisy Girl,"Georgette Me, Georgette You",Melancholy of a Noisy Girl,,Melancholy of a Noisy Girl,"Georgette Me, Georgette You",Melancholy of a Noisy Girl,"Georgette Me, Georgette You",,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,,,,,"Georgette Me, Georgette You",Melancholy of a Noisy Girl,,"Georgette Me, Georgette You","Georgette Me, Georgette You",,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,,,,Melancholy of a Noisy Girl,,,"Georgette Me, Georgette You",,,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,"Georgette Me, Georgette You",,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,"Georgette Me, Georgette You","Georgette Me, Georgette You","Georgette Me, Georgette You",,,Melancholy of a Noisy Girl,"Georgette Me, Georgette You",,"Georgette Me, Georgette You",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Kiss me Sunlights,Forlorn Last Stand,24,28,52,4,Forlorn Last Stand,,Forlorn Last Stand,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Forlorn Last Stand,,,,Kiss me Sunlights,,,,,Kiss me Sunlights,Kiss me Sunlights,,Forlorn Last Stand,Forlorn Last Stand,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Forlorn Last Stand,Kiss me Sunlights,,Kiss me Sunlights,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,,Forlorn Last Stand,Kiss me Sunlights,Forlorn Last Stand,Forlorn Last Stand,,Forlorn Last Stand,Forlorn Last Stand,,,,,Kiss me Sunlights,Forlorn Last Stand,,Forlorn Last Stand,Forlorn Last Stand,,Forlorn Last Stand,Forlorn Last Stand,,,,Kiss me Sunlights,,,Kiss me Sunlights,,,Kiss me Sunlights,Forlorn Last Stand,Kiss me Sunlights,,Kiss me Sunlights,Kiss me Sunlights,,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,,Forlorn Last Stand,Kiss me Sunlights,Forlorn Last Stand,Forlorn Last Stand,Kiss me Sunlights,Forlorn Last Stand,,,Kiss me Sunlights,Forlorn Last Stand,,Kiss me Sunlights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
