ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,akk,ama,andy,arti,azu,barrel,bebr,cako,cap,chaeix,chaos,collen,crest,dan,dem,deo,devi,dire,dis,dowolf,dragon,drj133,ema,fivda,fl81,flam,gall,gba,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,kama,kcf,kid,koala,korji,lasa,lefty,lem,mac,marg,mark,max,mega,mihark,moon,mzero,nfun,orange,p0,pablo,para,pixel,place,plas,pony,prince,prod,prody,pyre,rev,rika,rwlh,sceptile,sergio,shark,skull,sly,taffer,tazzy,tennis,tgs,tked,tre,tunnel,turus,uf8,wave,xx521,yhen,zel
106,Deadman's Gun,X-Naut Fortress,22,36,58,14,X-Naut Fortress,,,,Deadman's Gun,,Deadman's Gun,X-Naut Fortress,,X-Naut Fortress,,Deadman's Gun,,Deadman's Gun,,X-Naut Fortress,,X-Naut Fortress,Deadman's Gun,X-Naut Fortress,X-Naut Fortress,Deadman's Gun,Deadman's Gun,,,X-Naut Fortress,X-Naut Fortress,,Deadman's Gun,,X-Naut Fortress,,X-Naut Fortress,X-Naut Fortress,X-Naut Fortress,X-Naut Fortress,X-Naut Fortress,X-Naut Fortress,X-Naut Fortress,X-Naut Fortress,,X-Naut Fortress,Deadman's Gun,X-Naut Fortress,,X-Naut Fortress,,X-Naut Fortress,X-Naut Fortress,Deadman's Gun,,,Deadman's Gun,,Deadman's Gun,,,X-Naut Fortress,X-Naut Fortress,Deadman's Gun,Deadman's Gun,X-Naut Fortress,,X-Naut Fortress,Deadman's Gun,Deadman's Gun,Deadman's Gun,X-Naut Fortress,X-Naut Fortress,,,X-Naut Fortress,,Deadman's Gun,,,Deadman's Gun,Deadman's Gun,X-Naut Fortress,,,Deadman's Gun,X-Naut Fortress,X-Naut Fortress,X-Naut Fortress,X-Naut Fortress,Deadman's Gun,X-Naut Fortress,X-Naut Fortress,,
107,"""Don't speak her name!""",Millenium Spark (Firestorm BT MIX),26,32,58,6,Millenium Spark (Firestorm BT MIX),,,,"""Don't speak her name!""",,Millenium Spark (Firestorm BT MIX),Millenium Spark (Firestorm BT MIX),,"""Don't speak her name!""",,,,Millenium Spark (Firestorm BT MIX),,Millenium Spark (Firestorm BT MIX),,Millenium Spark (Firestorm BT MIX),Millenium Spark (Firestorm BT MIX),"""Don't speak her name!""","""Don't speak her name!""",Millenium Spark (Firestorm BT MIX),Millenium Spark (Firestorm BT MIX),,,"""Don't speak her name!""",Millenium Spark (Firestorm BT MIX),,Millenium Spark (Firestorm BT MIX),,Millenium Spark (Firestorm BT MIX),"""Don't speak her name!""","""Don't speak her name!""",Millenium Spark (Firestorm BT MIX),"""Don't speak her name!""",Millenium Spark (Firestorm BT MIX),Millenium Spark (Firestorm BT MIX),"""Don't speak her name!""",Millenium Spark (Firestorm BT MIX),Millenium Spark (Firestorm BT MIX),,"""Don't speak her name!""",Millenium Spark (Firestorm BT MIX),Millenium Spark (Firestorm BT MIX),,"""Don't speak her name!""",,Millenium Spark (Firestorm BT MIX),Millenium Spark (Firestorm BT MIX),"""Don't speak her name!""",,,"""Don't speak her name!""",,"""Don't speak her name!""",,,Millenium Spark (Firestorm BT MIX),"""Don't speak her name!""","""Don't speak her name!""",Millenium Spark (Firestorm BT MIX),Millenium Spark (Firestorm BT MIX),,Millenium Spark (Firestorm BT MIX),Millenium Spark (Firestorm BT MIX),"""Don't speak her name!""","""Don't speak her name!""",Millenium Spark (Firestorm BT MIX),"""Don't speak her name!""",,,"""Don't speak her name!""",Millenium Spark (Firestorm BT MIX),"""Don't speak her name!""",,,Millenium Spark (Firestorm BT MIX),Millenium Spark (Firestorm BT MIX),,,,Millenium Spark (Firestorm BT MIX),Millenium Spark (Firestorm BT MIX),"""Don't speak her name!""","""Don't speak her name!""","""Don't speak her name!""","""Don't speak her name!""","""Don't speak her name!""",Millenium Spark (Firestorm BT MIX),,
108,"Town, Flow of Time, People",Dance Of The Daring,31,27,58,4,"Town, Flow of Time, People",,,,"Town, Flow of Time, People",Dance Of The Daring,,,,Dance Of The Daring,,,,"Town, Flow of Time, People",,Dance Of The Daring,,Dance Of The Daring,"Town, Flow of Time, People",Dance Of The Daring,"Town, Flow of Time, People",Dance Of The Daring,Dance Of The Daring,Dance Of The Daring,,"Town, Flow of Time, People","Town, Flow of Time, People",,Dance Of The Daring,,Dance Of The Daring,Dance Of The Daring,"Town, Flow of Time, People","Town, Flow of Time, People",Dance Of The Daring,Dance Of The Daring,Dance Of The Daring,"Town, Flow of Time, People",Dance Of The Daring,Dance Of The Daring,,"Town, Flow of Time, People",Dance Of The Daring,"Town, Flow of Time, People",,"Town, Flow of Time, People",,Dance Of The Daring,"Town, Flow of Time, People",Dance Of The Daring,,,Dance Of The Daring,"Town, Flow of Time, People",,,,Dance Of The Daring,"Town, Flow of Time, People","Town, Flow of Time, People","Town, Flow of Time, People",Dance Of The Daring,,,,"Town, Flow of Time, People","Town, Flow of Time, People","Town, Flow of Time, People",Dance Of The Daring,,,"Town, Flow of Time, People","Town, Flow of Time, People","Town, Flow of Time, People",Dance Of The Daring,Dance Of The Daring,"Town, Flow of Time, People","Town, Flow of Time, People","Town, Flow of Time, People",,,"Town, Flow of Time, People",Dance Of The Daring,"Town, Flow of Time, People","Town, Flow of Time, People",Dance Of The Daring,"Town, Flow of Time, People",,"Town, Flow of Time, People",,
109,City Centre (Construction Site),Tempestissimo,44,14,58,30,City Centre (Construction Site),,,,City Centre (Construction Site),City Centre (Construction Site),City Centre (Construction Site),,,City Centre (Construction Site),,,,City Centre (Construction Site),,City Centre (Construction Site),,Tempestissimo,City Centre (Construction Site),Tempestissimo,City Centre (Construction Site),City Centre (Construction Site),City Centre (Construction Site),City Centre (Construction Site),,Tempestissimo,City Centre (Construction Site),,City Centre (Construction Site),,Tempestissimo,,City Centre (Construction Site),City Centre (Construction Site),City Centre (Construction Site),City Centre (Construction Site),Tempestissimo,City Centre (Construction Site),Tempestissimo,Tempestissimo,,City Centre (Construction Site),City Centre (Construction Site),City Centre (Construction Site),,City Centre (Construction Site),,City Centre (Construction Site),City Centre (Construction Site),Tempestissimo,,,City Centre (Construction Site),City Centre (Construction Site),,,,City Centre (Construction Site),City Centre (Construction Site),City Centre (Construction Site),City Centre (Construction Site),City Centre (Construction Site),,,,City Centre (Construction Site),Tempestissimo,City Centre (Construction Site),Tempestissimo,,,City Centre (Construction Site),Tempestissimo,City Centre (Construction Site),City Centre (Construction Site),City Centre (Construction Site),City Centre (Construction Site),Tempestissimo,City Centre (Construction Site),,,City Centre (Construction Site),City Centre (Construction Site),Tempestissimo,City Centre (Construction Site),Tempestissimo,City Centre (Construction Site),,City Centre (Construction Site),,
110,The Blue Sanctuary,Dancing Mad,28,29,57,1,Dancing Mad,,,,,The Blue Sanctuary,The Blue Sanctuary,Dancing Mad,,,,,,Dancing Mad,,Dancing Mad,,The Blue Sanctuary,Dancing Mad,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,Dancing Mad,The Blue Sanctuary,,The Blue Sanctuary,Dancing Mad,,The Blue Sanctuary,,The Blue Sanctuary,Dancing Mad,Dancing Mad,Dancing Mad,Dancing Mad,The Blue Sanctuary,The Blue Sanctuary,Dancing Mad,The Blue Sanctuary,The Blue Sanctuary,,Dancing Mad,Dancing Mad,The Blue Sanctuary,,Dancing Mad,,The Blue Sanctuary,Dancing Mad,The Blue Sanctuary,,,Dancing Mad,The Blue Sanctuary,,,,,The Blue Sanctuary,Dancing Mad,The Blue Sanctuary,Dancing Mad,,,,Dancing Mad,Dancing Mad,The Blue Sanctuary,The Blue Sanctuary,,,The Blue Sanctuary,Dancing Mad,The Blue Sanctuary,Dancing Mad,,Dancing Mad,The Blue Sanctuary,Dancing Mad,,,Dancing Mad,Dancing Mad,The Blue Sanctuary,Dancing Mad,The Blue Sanctuary,Dancing Mad,Dancing Mad,The Blue Sanctuary,,
111,PEARLS,Battle! (Cassiopeia),30,28,58,2,PEARLS,,,,PEARLS,,PEARLS,PEARLS,,PEARLS,,,,Battle! (Cassiopeia),,Battle! (Cassiopeia),,Battle! (Cassiopeia),Battle! (Cassiopeia),Battle! (Cassiopeia),Battle! (Cassiopeia),,,Battle! (Cassiopeia),Battle! (Cassiopeia),PEARLS,Battle! (Cassiopeia),,PEARLS,,PEARLS,PEARLS,Battle! (Cassiopeia),Battle! (Cassiopeia),PEARLS,Battle! (Cassiopeia),Battle! (Cassiopeia),Battle! (Cassiopeia),Battle! (Cassiopeia),PEARLS,,PEARLS,Battle! (Cassiopeia),Battle! (Cassiopeia),,PEARLS,,Battle! (Cassiopeia),PEARLS,Battle! (Cassiopeia),,,PEARLS,,Battle! (Cassiopeia),,,PEARLS,PEARLS,PEARLS,PEARLS,Battle! (Cassiopeia),,PEARLS,,PEARLS,PEARLS,,,PEARLS,,PEARLS,Battle! (Cassiopeia),PEARLS,PEARLS,Battle! (Cassiopeia),PEARLS,Battle! (Cassiopeia),PEARLS,,,Battle! (Cassiopeia),Battle! (Cassiopeia),Battle! (Cassiopeia),PEARLS,PEARLS,PEARLS,,Battle! (Cassiopeia),,
112,Drenched in Air,Calling,19,39,58,20,Calling,,,,Calling,,Calling,Calling,,Drenched in Air,,,,Drenched in Air,,Calling,,Drenched in Air,Calling,Drenched in Air,Calling,,,Calling,Calling,Drenched in Air,Drenched in Air,,Calling,,Calling,,Calling,Calling,Calling,Calling,Calling,Calling,Drenched in Air,Calling,,Calling,Drenched in Air,Calling,,Calling,,Drenched in Air,Drenched in Air,Drenched in Air,,,Calling,,Calling,,,Calling,Calling,Drenched in Air,Calling,Calling,,Calling,,Calling,Drenched in Air,Calling,Drenched in Air,Calling,,Drenched in Air,Calling,Calling,Calling,Calling,Calling,Calling,Calling,,,Drenched in Air,,Drenched in Air,Calling,Drenched in Air,Drenched in Air,,Calling,,
113,Old L.A. 2040,And Yet It Wanes,35,23,58,12,Old L.A. 2040,,,,Old L.A. 2040,,Old L.A. 2040,And Yet It Wanes,,Old L.A. 2040,,,,Old L.A. 2040,,Old L.A. 2040,,Old L.A. 2040,And Yet It Wanes,Old L.A. 2040,And Yet It Wanes,,,Old L.A. 2040,And Yet It Wanes,Old L.A. 2040,Old L.A. 2040,,And Yet It Wanes,,Old L.A. 2040,Old L.A. 2040,And Yet It Wanes,Old L.A. 2040,Old L.A. 2040,Old L.A. 2040,Old L.A. 2040,Old L.A. 2040,And Yet It Wanes,Old L.A. 2040,,Old L.A. 2040,And Yet It Wanes,Old L.A. 2040,,And Yet It Wanes,,Old L.A. 2040,And Yet It Wanes,And Yet It Wanes,,,And Yet It Wanes,,And Yet It Wanes,,,Old L.A. 2040,And Yet It Wanes,Old L.A. 2040,And Yet It Wanes,And Yet It Wanes,,Old L.A. 2040,,And Yet It Wanes,Old L.A. 2040,And Yet It Wanes,,,,And Yet It Wanes,Old L.A. 2040,Old L.A. 2040,Old L.A. 2040,And Yet It Wanes,Old L.A. 2040,And Yet It Wanes,Old L.A. 2040,,,Old L.A. 2040,Old L.A. 2040,And Yet It Wanes,Old L.A. 2040,And Yet It Wanes,Old L.A. 2040,,Old L.A. 2040,,
114,hinagiku (another version),Rock Club,27,33,60,6,Rock Club,,hinagiku (another version),,Rock Club,,Rock Club,,,,,,,hinagiku (another version),,Rock Club,,Rock Club,Rock Club,Rock Club,Rock Club,hinagiku (another version),,hinagiku (another version),Rock Club,hinagiku (another version),hinagiku (another version),,Rock Club,,hinagiku (another version),hinagiku (another version),Rock Club,Rock Club,hinagiku (another version),hinagiku (another version),Rock Club,Rock Club,hinagiku (another version),hinagiku (another version),,hinagiku (another version),hinagiku (another version),Rock Club,,,,Rock Club,Rock Club,Rock Club,Rock Club,Rock Club,hinagiku (another version),,Rock Club,,,hinagiku (another version),Rock Club,hinagiku (another version),Rock Club,hinagiku (another version),,hinagiku (another version),,Rock Club,hinagiku (another version),Rock Club,,Rock Club,,hinagiku (another version),Rock Club,Rock Club,hinagiku (another version),Rock Club,hinagiku (another version),Rock Club,Rock Club,,,Rock Club,Rock Club,hinagiku (another version),hinagiku (another version),hinagiku (another version),hinagiku (another version),,Rock Club,,
115,Chain of Pain,Soy Sauce for Geese,40,20,60,20,Chain of Pain,,Chain of Pain,,Soy Sauce for Geese,,Chain of Pain,,,,,,,Chain of Pain,,Soy Sauce for Geese,,Chain of Pain,Soy Sauce for Geese,Chain of Pain,Chain of Pain,Soy Sauce for Geese,,Chain of Pain,Chain of Pain,Chain of Pain,Soy Sauce for Geese,,Soy Sauce for Geese,,Chain of Pain,Chain of Pain,Soy Sauce for Geese,Chain of Pain,Chain of Pain,Chain of Pain,Chain of Pain,Soy Sauce for Geese,Chain of Pain,Chain of Pain,,Chain of Pain,Chain of Pain,Soy Sauce for Geese,,,,Chain of Pain,Chain of Pain,Chain of Pain,Soy Sauce for Geese,Soy Sauce for Geese,Chain of Pain,,Chain of Pain,,,Chain of Pain,Chain of Pain,Chain of Pain,Chain of Pain,Soy Sauce for Geese,,Chain of Pain,,Soy Sauce for Geese,Soy Sauce for Geese,Chain of Pain,Chain of Pain,Chain of Pain,,Soy Sauce for Geese,,Chain of Pain,Chain of Pain,Chain of Pain,Chain of Pain,Soy Sauce for Geese,Soy Sauce for Geese,,,Chain of Pain,Soy Sauce for Geese,Chain of Pain,Chain of Pain,Soy Sauce for Geese,Chain of Pain,,Soy Sauce for Geese,,
116,Fullmetal Fighter,Turning Point,27,34,61,7,Turning Point,,Turning Point,,Fullmetal Fighter,,Fullmetal Fighter,,,,,,,Turning Point,,Fullmetal Fighter,,Turning Point,Fullmetal Fighter,Fullmetal Fighter,Turning Point,Fullmetal Fighter,,Turning Point,Turning Point,Turning Point,Fullmetal Fighter,,Fullmetal Fighter,,Fullmetal Fighter,Turning Point,Turning Point,Fullmetal Fighter,Turning Point,Turning Point,Turning Point,Turning Point,Fullmetal Fighter,Turning Point,,Turning Point,Turning Point,Turning Point,,,,Fullmetal Fighter,Fullmetal Fighter,Fullmetal Fighter,Turning Point,Fullmetal Fighter,Turning Point,,Fullmetal Fighter,,,Turning Point,Fullmetal Fighter,Fullmetal Fighter,Fullmetal Fighter,Turning Point,,Turning Point,,Turning Point,Fullmetal Fighter,Turning Point,Turning Point,Turning Point,,Fullmetal Fighter,Fullmetal Fighter,Turning Point,Turning Point,Fullmetal Fighter,Turning Point,Fullmetal Fighter,Fullmetal Fighter,,,Turning Point,Fullmetal Fighter,Fullmetal Fighter,Turning Point,Turning Point,Turning Point,,Turning Point,,
117,Let It Die ~always see you there~,They Who Govern Reason,22,32,54,10,They Who Govern Reason,,,,They Who Govern Reason,,They Who Govern Reason,They Who Govern Reason,,,,,,They Who Govern Reason,,They Who Govern Reason,,They Who Govern Reason,They Who Govern Reason,Let It Die ~always see you there~,Let It Die ~always see you there~,They Who Govern Reason,,Let It Die ~always see you there~,Let It Die ~always see you there~,They Who Govern Reason,They Who Govern Reason,,They Who Govern Reason,,They Who Govern Reason,,They Who Govern Reason,Let It Die ~always see you there~,Let It Die ~always see you there~,They Who Govern Reason,They Who Govern Reason,They Who Govern Reason,They Who Govern Reason,,,Let It Die ~always see you there~,They Who Govern Reason,,,Let It Die ~always see you there~,,They Who Govern Reason,Let It Die ~always see you there~,They Who Govern Reason,Let It Die ~always see you there~,They Who Govern Reason,Let It Die ~always see you there~,,They Who Govern Reason,,,,,Let It Die ~always see you there~,Let It Die ~always see you there~,They Who Govern Reason,,,,Let It Die ~always see you there~,They Who Govern Reason,Let It Die ~always see you there~,They Who Govern Reason,,,Let It Die ~always see you there~,Let It Die ~always see you there~,Let It Die ~always see you there~,They Who Govern Reason,,They Who Govern Reason,Let It Die ~always see you there~,Let It Die ~always see you there~,,,Let It Die ~always see you there~,They Who Govern Reason,They Who Govern Reason,They Who Govern Reason,They Who Govern Reason,Let It Die ~always see you there~,,They Who Govern Reason,,
118,sometimes i breathe,Banbard (Piano Version),26,29,55,3,Banbard (Piano Version),,,,Banbard (Piano Version),,Banbard (Piano Version),sometimes i breathe,,,,,,sometimes i breathe,,,,Banbard (Piano Version),sometimes i breathe,Banbard (Piano Version),Banbard (Piano Version),Banbard (Piano Version),,sometimes i breathe,sometimes i breathe,Banbard (Piano Version),Banbard (Piano Version),,sometimes i breathe,,sometimes i breathe,sometimes i breathe,Banbard (Piano Version),Banbard (Piano Version),sometimes i breathe,sometimes i breathe,Banbard (Piano Version),sometimes i breathe,sometimes i breathe,,,Banbard (Piano Version),Banbard (Piano Version),,,sometimes i breathe,,Banbard (Piano Version),Banbard (Piano Version),Banbard (Piano Version),Banbard (Piano Version),sometimes i breathe,Banbard (Piano Version),,Banbard (Piano Version),,,,,sometimes i breathe,sometimes i breathe,sometimes i breathe,,sometimes i breathe,,Banbard (Piano Version),sometimes i breathe,Banbard (Piano Version),Banbard (Piano Version),,,sometimes i breathe,Banbard (Piano Version),Banbard (Piano Version),sometimes i breathe,,sometimes i breathe,Banbard (Piano Version),sometimes i breathe,,,sometimes i breathe,Banbard (Piano Version),Banbard (Piano Version),sometimes i breathe,Banbard (Piano Version),sometimes i breathe,,Banbard (Piano Version),,
119,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,32,25,57,7,Fly In The Freedom …Theme of “ROUGE”,,,,Fly In The Freedom …Theme of “ROUGE”,,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,,,,,,Fly In The Freedom …Theme of “ROUGE”,,Moonlight Canyon,,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,Moonlight Canyon,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,,Moonlight Canyon,,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,Moonlight Canyon,Fly In The Freedom …Theme of “ROUGE”,Fly In The Freedom …Theme of “ROUGE”,Fly In The Freedom …Theme of “ROUGE”,Fly In The Freedom …Theme of “ROUGE”,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,,,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,,,Fly In The Freedom …Theme of “ROUGE”,,Moonlight Canyon,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,Fly In The Freedom …Theme of “ROUGE”,,Moonlight Canyon,,,Moonlight Canyon,,Fly In The Freedom …Theme of “ROUGE”,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,,Fly In The Freedom …Theme of “ROUGE”,,Fly In The Freedom …Theme of “ROUGE”,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,Moonlight Canyon,,,Fly In The Freedom …Theme of “ROUGE”,Fly In The Freedom …Theme of “ROUGE”,Fly In The Freedom …Theme of “ROUGE”,Fly In The Freedom …Theme of “ROUGE”,,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,Moonlight Canyon,,,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,Moonlight Canyon,Fly In The Freedom …Theme of “ROUGE”,Moonlight Canyon,Fly In The Freedom …Theme of “ROUGE”,,Fly In The Freedom …Theme of “ROUGE”,,
120,Give Me Money!,-{EDGE OF THE FUTURE},8,50,58,42,Give Me Money!,,,,-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},Give Me Money!,,,,,,Give Me Money!,,-{EDGE OF THE FUTURE},,-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},Give Me Money!,-{EDGE OF THE FUTURE},Give Me Money!,-{EDGE OF THE FUTURE},Give Me Money!,,Give Me Money!,,-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,-{EDGE OF THE FUTURE},,-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,,-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,,,-{EDGE OF THE FUTURE},Give Me Money!,,-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,-{EDGE OF THE FUTURE},Give Me Money!,-{EDGE OF THE FUTURE},,,-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,,,-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,-{EDGE OF THE FUTURE},,
121,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,25,33,58,8,POP TEAM BATTLE,,,,POP TEAM BATTLE,POP TEAM BATTLE,POP TEAM BATTLE,Weight of the World / Kowareta Sekai no Uta,,,,,,POP TEAM BATTLE,,POP TEAM BATTLE,,POP TEAM BATTLE,POP TEAM BATTLE,POP TEAM BATTLE,POP TEAM BATTLE,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,POP TEAM BATTLE,POP TEAM BATTLE,,POP TEAM BATTLE,,Weight of the World / Kowareta Sekai no Uta,Weight of the World / Kowareta Sekai no Uta,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,POP TEAM BATTLE,POP TEAM BATTLE,POP TEAM BATTLE,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,POP TEAM BATTLE,,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,POP TEAM BATTLE,,Weight of the World / Kowareta Sekai no Uta,,Weight of the World / Kowareta Sekai no Uta,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,Weight of the World / Kowareta Sekai no Uta,,POP TEAM BATTLE,Weight of the World / Kowareta Sekai no Uta,Weight of the World / Kowareta Sekai no Uta,,,POP TEAM BATTLE,Weight of the World / Kowareta Sekai no Uta,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,POP TEAM BATTLE,,,,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,,POP TEAM BATTLE,Weight of the World / Kowareta Sekai no Uta,,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,POP TEAM BATTLE,,,Weight of the World / Kowareta Sekai no Uta,Weight of the World / Kowareta Sekai no Uta,,,,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,Weight of the World / Kowareta Sekai no Uta,POP TEAM BATTLE,,Weight of the World / Kowareta Sekai no Uta,,
122,Fight the Tower,GOLDEN RULE (Long Version),26,31,57,5,GOLDEN RULE (Long Version),,,,Fight the Tower,Fight the Tower,Fight the Tower,Fight the Tower,,,,,,GOLDEN RULE (Long Version),,Fight the Tower,,GOLDEN RULE (Long Version),Fight the Tower,GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),Fight the Tower,GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),Fight the Tower,,Fight the Tower,,GOLDEN RULE (Long Version),,GOLDEN RULE (Long Version),Fight the Tower,GOLDEN RULE (Long Version),Fight the Tower,Fight the Tower,GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),Fight the Tower,,GOLDEN RULE (Long Version),Fight the Tower,Fight the Tower,,Fight the Tower,,Fight the Tower,Fight the Tower,GOLDEN RULE (Long Version),Fight the Tower,,GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),Fight the Tower,,,GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),,,,Fight the Tower,GOLDEN RULE (Long Version),,GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),,GOLDEN RULE (Long Version),Fight the Tower,GOLDEN RULE (Long Version),,,GOLDEN RULE (Long Version),Fight the Tower,Fight the Tower,,,GOLDEN RULE (Long Version),Fight the Tower,Fight the Tower,GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),,,Fight the Tower,,
123,Desert-Duo,Kings,35,24,59,11,Desert-Duo,,,,Desert-Duo,,Kings,Kings,,Desert-Duo,,,,Desert-Duo,,Desert-Duo,,Kings,Desert-Duo,Kings,Desert-Duo,Desert-Duo,Kings,Desert-Duo,,Desert-Duo,Desert-Duo,,Desert-Duo,,Kings,Desert-Duo,Kings,Kings,Desert-Duo,Desert-Duo,Kings,,Kings,Kings,,Desert-Duo,Kings,Desert-Duo,,Desert-Duo,,Desert-Duo,Desert-Duo,Kings,Kings,Kings,Desert-Duo,,,,,Desert-Duo,Desert-Duo,Kings,Desert-Duo,Kings,,Desert-Duo,,Desert-Duo,Kings,Desert-Duo,,,,Desert-Duo,Desert-Duo,Desert-Duo,Desert-Duo,Kings,Desert-Duo,Kings,Kings,,,Kings,Kings,Desert-Duo,Desert-Duo,Kings,Desert-Duo,,Desert-Duo,,
124,Reach for reality,"Reach for the Moon, Immortal Smoke",29,31,60,2,"Reach for the Moon, Immortal Smoke",,,,"Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",,Reach for reality,,,,Reach for reality,,"Reach for the Moon, Immortal Smoke",,Reach for reality,"Reach for the Moon, Immortal Smoke",Reach for reality,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",Reach for reality,Reach for reality,,Reach for reality,"Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",Reach for reality,"Reach for the Moon, Immortal Smoke",Reach for reality,Reach for reality,Reach for reality,"Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",Reach for reality,,Reach for reality,Reach for reality,"Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",Reach for reality,Reach for reality,Reach for reality,,"Reach for the Moon, Immortal Smoke",,,Reach for reality,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",Reach for reality,,Reach for reality,,"Reach for the Moon, Immortal Smoke",Reach for reality,Reach for reality,,,,"Reach for the Moon, Immortal Smoke",Reach for reality,Reach for reality,Reach for reality,"Reach for the Moon, Immortal Smoke",Reach for reality,"Reach for the Moon, Immortal Smoke",Reach for reality,,,"Reach for the Moon, Immortal Smoke",Reach for reality,"Reach for the Moon, Immortal Smoke",Reach for reality,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",,
